{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.35, 'rot1': 18, 'rot0': 15, 'rot3': 4, 'rot2': 4, 'state': 'normal', 'yaw': -3.88, 'datetime': '2018-10-12 20:01:21.718263', 'mgs': 0, 'depth': 1.08, 'time': 5.24, 'pitch': 4.3, 'roll': 5.24}
{'lipoC2': 8.01, 'temp': 28.63, 'lipoC3S3': 12.35, 'rot1': 19, 'rot0': 16, 'rot3': 4, 'rot2': 5, 'state': 'normal', 'yaw': -3.74, 'datetime': '2018-10-12 20:01:21.815306', 'mgs': 0, 'depth': 1.004, 'time': 5.34, 'pitch': 3.99, 'roll': 6.03}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.38, 'rot1': 20, 'rot0': 16, 'rot3': 4, 'rot2': 5, 'state': 'normal', 'yaw': -3.67, 'datetime': '2018-10-12 20:01:21.912370', 'mgs': 0, 'depth': 1.08, 'time': 5.43, 'pitch': 3.7, 'roll': 6.15}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.37, 'rot1': 21, 'rot0': 17, 'rot3': 4, 'rot2': 5, 'state': 'normal', 'yaw': -3.51, 'datetime': '2018-10-12 20:01:22.010712', 'mgs': 0, 'depth': 1.233, 'time': 5.53, 'pitch': 3.41, 'roll': 5.85}
{'lipoC2': 8.0, 'temp': 28.56, 'lipoC3S3': 12.37, 'rot1': 22, 'rot0': 18, 'rot3': 4, 'rot2': 5, 'state': 'normal', 'yaw': -3.23, 'datetime': '2018-10-12 20:01:22.109179', 'mgs': 0, 'depth': 1.996, 'time': 5.63, 'pitch': 3.08, 'roll': 5.58}
{'lipoC2': 8.0, 'temp': 28.56, 'lipoC3S3': 12.31, 'rot1': 23, 'rot0': 19, 'rot3': 4, 'rot2': 5, 'state': 'normal', 'yaw': -2.89, 'datetime': '2018-10-12 20:01:22.206157', 'mgs': 0, 'depth': 1.157, 'time': 5.73, 'pitch': 2.74, 'roll': 5.66}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.35, 'rot1': 24, 'rot0': 20, 'rot3': 4, 'rot2': 5, 'state': 'normal', 'yaw': -2.52, 'datetime': '2018-10-12 20:01:22.303180', 'mgs': 0, 'depth': 2.682, 'time': 5.82, 'pitch': 2.32, 'roll': 5.88}
{'lipoC2': 8.01, 'temp': 28.63, 'lipoC3S3': 12.22, 'rot1': 26, 'rot0': 21, 'rot3': 4, 'rot2': 5, 'state': 'normal', 'yaw': -2.28, 'datetime': '2018-10-12 20:01:22.401493', 'mgs': 0, 'depth': 1.157, 'time': 5.92, 'pitch': 1.84, 'roll': 6.13}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.3, 'rot1': 27, 'rot0': 22, 'rot3': 4, 'rot2': 5, 'state': 'normal', 'yaw': -2.2, 'datetime': '2018-10-12 20:01:22.499819', 'mgs': 0, 'depth': 1.233, 'time': 6.02, 'pitch': 1.11, 'roll': 6.57}
{'lipoC2': 8.0, 'temp': 28.69, 'lipoC3S3': 12.34, 'rot1': 28, 'rot0': 23, 'rot3': 5, 'rot2': 6, 'state': 'normal', 'yaw': -2.32, 'datetime': '2018-10-12 20:01:22.597082', 'mgs': 0, 'depth': 1.843, 'time': 6.12, 'pitch': 0.41, 'roll': 7.4}
{'lipoC2': 8.02, 'temp': 28.69, 'lipoC3S3': 12.29, 'rot1': 29, 'rot0': 23, 'rot3': 5, 'rot2': 7, 'state': 'normal', 'yaw': -3.08, 'datetime': '2018-10-12 20:01:22.694136', 'mgs': 0, 'depth': 1.233, 'time': 6.21, 'pitch': -0.32, 'roll': 7.95}
{'lipoC2': 8.01, 'temp': 28.63, 'lipoC3S3': 12.31, 'rot1': 30, 'rot0': 25, 'rot3': 6, 'rot2': 7, 'state': 'normal', 'yaw': -3.6, 'datetime': '2018-10-12 20:01:22.791749', 'mgs': 0, 'depth': 2.225, 'time': 6.31, 'pitch': -0.94, 'roll': 8.0}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.35, 'rot1': 31, 'rot0': 25, 'rot3': 6, 'rot2': 8, 'state': 'normal', 'yaw': -3.67, 'datetime': '2018-10-12 20:01:22.888769', 'mgs': 0, 'depth': 1.157, 'time': 6.41, 'pitch': -1.42, 'roll': 7.65}
{'lipoC2': 8.01, 'temp': 28.63, 'lipoC3S3': 12.35, 'rot1': 32, 'rot0': 26, 'rot3': 6, 'rot2': 8, 'state': 'normal', 'yaw': -3.32, 'datetime': '2018-10-12 20:01:22.985802', 'mgs': 0, 'depth': 1.691, 'time': 6.51, 'pitch': -1.83, 'roll': 7.23}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.27, 'rot1': 33, 'rot0': 27, 'rot3': 6, 'rot2': 8, 'state': 'normal', 'yaw': -2.73, 'datetime': '2018-10-12 20:01:23.083017', 'mgs': 0, 'depth': 1.233, 'time': 6.6, 'pitch': -2.2, 'roll': 7.03}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.35, 'rot1': 34, 'rot0': 28, 'rot3': 6, 'rot2': 8, 'state': 'normal', 'yaw': -1.82, 'datetime': '2018-10-12 20:01:23.180049', 'mgs': 0, 'depth': 1.996, 'time': 6.7, 'pitch': -2.58, 'roll': 7.08}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.27, 'rot1': 35, 'rot0': 29, 'rot3': 8, 'rot2': 8, 'state': 'normal', 'yaw': -0.71, 'datetime': '2018-10-12 20:01:23.277083', 'mgs': 0, 'depth': 1.08, 'time': 6.8, 'pitch': -2.82, 'roll': 7.19}
{'lipoC2': 8.01, 'temp': 28.63, 'lipoC3S3': 12.3, 'rot1': 36, 'rot0': 30, 'rot3': 8, 'rot2': 9, 'state': 'normal', 'yaw': 0.46, 'datetime': '2018-10-12 20:01:23.374147', 'mgs': 0, 'depth': 2.454, 'time': 6.89, 'pitch': -2.9, 'roll': 7.01}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.34, 'rot1': 37, 'rot0': 31, 'rot3': 9, 'rot2': 9, 'state': 'normal', 'yaw': 1.29, 'datetime': '2018-10-12 20:01:23.471007', 'mgs': 0, 'depth': 1.157, 'time': 6.99, 'pitch': -2.73, 'roll': 6.88}
